Factories	2
Machines	6
Families	20
SetupType	2

Number of Jobs in each Family
1	3	9	2	1	10	7	10	3	10	4	1	4	6	10	10	1	9	7	6	

Jobs in each Family
0	
1	2	3	
4	5	6	7	8	9	10	11	12	
13	14	
15	
16	17	18	19	20	21	22	23	24	25	
26	27	28	29	30	31	32	
33	34	35	36	37	38	39	40	41	42	
43	44	45	
46	47	48	49	50	51	52	53	54	55	
56	57	58	59	
60	
61	62	63	64	
65	66	67	68	69	70	
71	72	73	74	75	76	77	78	79	80	
81	82	83	84	85	86	87	88	89	90	
91	
92	93	94	95	96	97	98	99	100	
101	102	103	104	105	106	107	
108	109	110	111	112	113	

Total number of jobs
114

Processing times of jobs
10	4	4	7	5	7	
1	6	1	8	2	10	
7	5	3	6	6	8	
4	5	7	5	6	7	
4	8	6	4	10	3	
3	8	6	8	10	5	
10	4	2	2	5	6	
8	9	1	6	9	2	
1	7	1	2	5	7	
1	3	2	3	7	6	
5	2	3	9	8	10	
2	8	7	9	4	9	
4	3	10	2	8	2	
5	8	5	1	9	4	
5	1	5	9	3	7	
3	3	2	10	2	6	
3	2	5	7	4	2	
3	8	3	10	10	8	
10	1	7	3	3	8	
2	9	7	2	2	5	
8	3	2	8	7	3	
10	8	8	6	2	10	
7	8	3	8	4	7	
10	9	4	9	6	3	
5	5	10	3	10	8	
7	8	4	1	4	10	
6	7	5	1	7	7	
10	6	10	9	1	6	
10	1	3	7	6	1	
8	6	1	8	8	10	
7	5	4	10	1	4	
1	5	5	3	8	2	
1	5	5	7	9	7	
9	1	8	8	3	5	
3	4	5	5	4	2	
8	2	3	5	9	4	
3	7	2	9	4	7	
5	7	1	2	1	2	
10	4	3	6	4	2	
2	6	4	6	2	1	
5	8	2	4	1	10	
8	7	6	6	8	7	
8	6	6	9	3	10	
5	3	5	6	10	10	
4	3	3	4	1	8	
2	1	10	6	5	3	
9	10	4	2	4	8	
1	3	2	10	3	2	
3	5	3	7	10	10	
5	7	9	5	2	5	
3	2	3	2	8	6	
3	4	9	1	6	6	
1	6	3	8	7	4	
3	7	4	1	1	3	
7	10	6	6	10	4	
1	4	3	10	9	2	
4	5	5	5	3	10	
10	8	1	7	3	5	
5	7	10	7	5	8	
8	5	7	9	7	3	
4	6	5	5	4	8	
3	6	8	6	3	5	
1	5	4	3	10	6	
7	6	8	7	2	3	
7	4	10	2	9	7	
8	2	5	1	2	9	
10	3	5	1	1	5	
5	1	8	4	4	1	
8	7	5	9	7	9	
9	2	4	9	5	4	
6	7	5	7	7	7	
1	2	7	9	9	8	
1	1	10	8	9	7	
5	3	6	7	2	3	
